=== Energy Consumption Metrics ===

Total Duration: 16510.77 seconds
Average CPU Power: 0.70 Watts
Average RAM Power: 3.17 Watts
Average GPU Power: 54.20 Watts
Total Energy Consumption: 0.9587 Mega Joules

=== Detailed Measurements ===
Round global, start: 24.50W (CPU: 4.05W, RAM: 1.96W, GPU: 18.49W)
Round 4, node_2_smpc_complete: 22.15W (CPU: 0.09W, RAM: 2.82W, GPU: 19.24W)
Round 4, node_3_training_start: 22.79W (CPU: 0.00W, RAM: 2.82W, GPU: 19.96W)
Round 4, node_3_training_complete: 113.30W (CPU: 1.89W, RAM: 2.87W, GPU: 108.55W)
Round 4, node_3_smpc_start: 111.41W (CPU: 0.00W, RAM: 2.87W, GPU: 108.55W)
Round 4, node_3_smpc_complete: 23.31W (CPU: 0.09W, RAM: 2.87W, GPU: 20.36W)
Round 4, aggregation_start: 22.41W (CPU: 0.00W, RAM: 2.87W, GPU: 19.54W)
Round 4, aggregation_complete: 25.49W (CPU: 1.41W, RAM: 2.87W, GPU: 21.22W)
Round 5, cluster_generation_start: 22.75W (CPU: 0.03W, RAM: 2.87W, GPU: 19.84W)
Round 5, cluster_generation_complete: 22.72W (CPU: 0.00W, RAM: 2.87W, GPU: 19.84W)
Round 5, node_1_training_start: 22.72W (CPU: 0.00W, RAM: 2.87W, GPU: 19.84W)
Round 5, node_1_training_complete: 112.28W (CPU: 1.83W, RAM: 2.93W, GPU: 107.52W)
Round 5, node_1_smpc_start: 110.45W (CPU: 0.00W, RAM: 2.93W, GPU: 107.52W)
Round 5, node_1_smpc_complete: 22.74W (CPU: 0.09W, RAM: 2.87W, GPU: 19.77W)
Round 5, node_2_training_start: 22.91W (CPU: 0.00W, RAM: 2.87W, GPU: 20.03W)
Round 5, node_2_training_complete: 119.06W (CPU: 1.95W, RAM: 2.91W, GPU: 114.19W)
Round 5, node_2_smpc_start: 117.11W (CPU: 0.00W, RAM: 2.91W, GPU: 114.19W)
