=== Energy Consumption Metrics ===

Total Duration: 33140.42 seconds
Average CPU Power: 0.91 Watts
Average RAM Power: 2.79 Watts
Average GPU Power: 51.43 Watts
Total Energy Consumption: 1.8269 Mega Joules

=== Detailed Measurements ===
Round global, start: 25.81W (CPU: 4.11W, RAM: 0.40W, GPU: 21.30W)
Round 4, node_2_smpc_complete: 28.51W (CPU: 1.41W, RAM: 3.28W, GPU: 23.82W)
Round 4, node_3_training_start: 99.36W (CPU: 1.89W, RAM: 3.30W, GPU: 94.17W)
Round 4, node_3_training_complete: 114.62W (CPU: 3.93W, RAM: 3.32W, GPU: 107.38W)
Round 4, node_3_smpc_start: 110.69W (CPU: 0.00W, RAM: 3.32W, GPU: 107.38W)
Round 4, node_3_smpc_complete: 94.15W (CPU: 1.62W, RAM: 3.33W, GPU: 89.20W)
Round 4, aggregation_start: 93.20W (CPU: 1.35W, RAM: 3.33W, GPU: 88.53W)
Round 4, aggregation_complete: 95.05W (CPU: 2.67W, RAM: 3.33W, GPU: 89.05W)
Round 5, cluster_generation_start: 65.33W (CPU: 0.90W, RAM: 3.33W, GPU: 61.10W)
Round 5, cluster_generation_complete: 64.43W (CPU: 0.00W, RAM: 3.33W, GPU: 61.10W)
Round 5, node_1_training_start: 64.43W (CPU: 0.00W, RAM: 3.33W, GPU: 61.10W)
Round 5, node_1_training_complete: 113.89W (CPU: 2.49W, RAM: 3.37W, GPU: 108.03W)
Round 5, node_1_smpc_start: 111.40W (CPU: 0.00W, RAM: 3.37W, GPU: 108.03W)
Round 5, node_1_smpc_complete: 79.76W (CPU: 1.68W, RAM: 3.38W, GPU: 74.69W)
Round 5, node_2_training_start: 96.73W (CPU: 1.80W, RAM: 3.37W, GPU: 91.56W)
Round 5, node_2_training_complete: 112.77W (CPU: 3.30W, RAM: 3.38W, GPU: 106.09W)
Round 5, node_2_smpc_start: 109.47W (CPU: 0.00W, RAM: 3.38W, GPU: 106.09W)
Round 5, node_2_smpc_complete: 65.68W (CPU: 1.47W, RAM: 3.38W, GPU: 60.83W)
Round 5, node_3_training_start: 78.19W (CPU: 0.72W, RAM: 3.39W, GPU: 74.08W)
Round 5, node_3_training_complete: 114.42W (CPU: 4.02W, RAM: 3.47W, GPU: 106.93W)
Round 5, node_3_smpc_start: 110.40W (CPU: 0.00W, RAM: 3.47W, GPU: 106.93W)
Round 5, node_3_smpc_complete: 94.43W (CPU: 1.65W, RAM: 3.47W, GPU: 89.30W)
Round 5, aggregation_start: 93.45W (CPU: 1.35W, RAM: 3.47W, GPU: 88.63W)
Round 5, aggregation_complete: 95.93W (CPU: 2.25W, RAM: 3.47W, GPU: 90.21W)
Round 6, cluster_generation_start: 98.50W (CPU: 1.38W, RAM: 3.48W, GPU: 93.64W)
Round 6, cluster_generation_complete: 97.12W (CPU: 0.00W, RAM: 3.48W, GPU: 93.64W)
Round 6, node_1_training_start: 97.12W (CPU: 0.00W, RAM: 3.48W, GPU: 93.64W)
Round 6, node_1_training_complete: 79.21W (CPU: 2.31W, RAM: 3.52W, GPU: 73.38W)
Round 6, node_1_smpc_start: 76.90W (CPU: 0.00W, RAM: 3.52W, GPU: 73.38W)
Round 6, node_1_smpc_complete: 79.63W (CPU: 1.62W, RAM: 3.53W, GPU: 74.48W)
Round 6, node_2_training_start: 77.74W (CPU: 1.92W, RAM: 3.52W, GPU: 72.30W)
Round 6, node_2_training_complete: 114.84W (CPU: 3.48W, RAM: 3.52W, GPU: 107.85W)
Round 6, node_2_smpc_start: 111.36W (CPU: 0.00W, RAM: 3.52W, GPU: 107.85W)
Round 6, node_2_smpc_complete: 66.85W (CPU: 1.50W, RAM: 3.53W, GPU: 61.82W)
Round 6, node_3_training_start: 81.27W (CPU: 0.51W, RAM: 3.54W, GPU: 77.22W)
Round 6, node_3_training_complete: 117.83W (CPU: 4.05W, RAM: 3.55W, GPU: 110.23W)
Round 6, node_3_smpc_start: 112.39W (CPU: 0.00W, RAM: 3.55W, GPU: 108.84W)
Round 6, node_3_smpc_complete: 97.11W (CPU: 1.68W, RAM: 3.54W, GPU: 91.89W)
Round 6, aggregation_start: 93.57W (CPU: 1.35W, RAM: 3.54W, GPU: 88.68W)
Round 6, aggregation_complete: 94.65W (CPU: 2.28W, RAM: 3.54W, GPU: 88.83W)
Round 7, cluster_generation_start: 80.26W (CPU: 1.35W, RAM: 3.54W, GPU: 75.37W)
Round 7, cluster_generation_complete: 78.91W (CPU: 0.00W, RAM: 3.54W, GPU: 75.37W)
Round 7, node_1_training_start: 78.91W (CPU: 0.00W, RAM: 3.54W, GPU: 75.37W)
Round 7, node_1_training_complete: 81.54W (CPU: 1.98W, RAM: 3.56W, GPU: 76.00W)
Round 7, node_1_smpc_start: 79.56W (CPU: 0.00W, RAM: 3.56W, GPU: 76.00W)
Round 7, node_1_smpc_complete: 79.00W (CPU: 1.68W, RAM: 3.56W, GPU: 73.75W)
Round 7, node_2_training_start: 83.41W (CPU: 1.98W, RAM: 3.55W, GPU: 77.88W)
Round 7, node_2_training_complete: 116.95W (CPU: 3.36W, RAM: 3.57W, GPU: 110.02W)
Round 7, node_2_smpc_start: 113.59W (CPU: 0.00W, RAM: 3.57W, GPU: 110.02W)
Round 7, node_2_smpc_complete: 66.76W (CPU: 1.50W, RAM: 3.55W, GPU: 61.72W)
Round 7, node_3_training_start: 80.11W (CPU: 0.66W, RAM: 3.56W, GPU: 75.90W)
Round 7, node_3_training_complete: 112.29W (CPU: 4.05W, RAM: 3.57W, GPU: 104.67W)
Round 7, node_3_smpc_start: 108.24W (CPU: 0.00W, RAM: 3.57W, GPU: 104.67W)
Round 7, node_3_smpc_complete: 84.47W (CPU: 1.68W, RAM: 3.54W, GPU: 79.25W)
Round 7, aggregation_start: 96.91W (CPU: 1.38W, RAM: 3.55W, GPU: 91.98W)
Round 7, aggregation_complete: 98.39W (CPU: 2.70W, RAM: 3.54W, GPU: 92.14W)
Round 8, cluster_generation_start: 94.77W (CPU: 1.38W, RAM: 3.55W, GPU: 89.84W)
Round 8, cluster_generation_complete: 93.39W (CPU: 0.00W, RAM: 3.55W, GPU: 89.84W)
Round 8, node_1_training_start: 93.39W (CPU: 0.00W, RAM: 3.55W, GPU: 89.84W)
Round 8, node_1_training_complete: 83.84W (CPU: 3.12W, RAM: 3.58W, GPU: 77.14W)
Round 8, node_1_smpc_start: 80.72W (CPU: 0.00W, RAM: 3.58W, GPU: 77.14W)
Round 8, node_1_smpc_complete: 98.32W (CPU: 1.53W, RAM: 3.57W, GPU: 93.21W)
Round 8, node_2_training_start: 76.83W (CPU: 1.95W, RAM: 3.57W, GPU: 71.31W)
Round 8, node_2_training_complete: 115.89W (CPU: 3.72W, RAM: 3.58W, GPU: 108.59W)
Round 8, node_2_smpc_start: 112.17W (CPU: 0.00W, RAM: 3.58W, GPU: 108.59W)
Round 8, node_2_smpc_complete: 92.67W (CPU: 1.56W, RAM: 3.59W, GPU: 87.52W)
Round 8, node_3_training_start: 65.08W (CPU: 0.30W, RAM: 3.59W, GPU: 61.19W)
Round 8, node_3_training_complete: 120.14W (CPU: 3.60W, RAM: 3.61W, GPU: 112.93W)
Round 8, node_3_smpc_start: 116.54W (CPU: 0.00W, RAM: 3.61W, GPU: 112.93W)
Round 8, node_3_smpc_complete: 78.77W (CPU: 1.68W, RAM: 3.60W, GPU: 73.49W)
Round 8, aggregation_start: 96.95W (CPU: 1.65W, RAM: 3.60W, GPU: 91.70W)
Round 8, aggregation_complete: 97.83W (CPU: 2.40W, RAM: 3.60W, GPU: 91.83W)
Round 9, cluster_generation_start: 96.32W (CPU: 1.38W, RAM: 3.61W, GPU: 91.33W)
Round 9, cluster_generation_complete: 94.94W (CPU: 0.00W, RAM: 3.61W, GPU: 91.33W)
Round 9, node_1_training_start: 94.94W (CPU: 0.00W, RAM: 3.61W, GPU: 91.33W)
Round 9, node_1_training_complete: 114.50W (CPU: 3.39W, RAM: 3.64W, GPU: 107.48W)
Round 9, node_1_smpc_start: 111.11W (CPU: 0.00W, RAM: 3.64W, GPU: 107.48W)
Round 9, node_1_smpc_complete: 73.46W (CPU: 1.44W, RAM: 3.62W, GPU: 68.40W)
Round 9, node_2_training_start: 80.30W (CPU: 2.01W, RAM: 3.62W, GPU: 74.67W)
Round 9, node_2_training_complete: 114.87W (CPU: 3.93W, RAM: 3.60W, GPU: 107.34W)
Round 9, node_2_smpc_start: 110.94W (CPU: 0.00W, RAM: 3.60W, GPU: 107.34W)
Round 9, node_2_smpc_complete: 99.71W (CPU: 1.59W, RAM: 3.61W, GPU: 94.50W)
Round 9, node_3_training_start: 86.87W (CPU: 1.38W, RAM: 3.60W, GPU: 81.89W)
Round 9, node_3_training_complete: 82.69W (CPU: 1.89W, RAM: 3.62W, GPU: 77.18W)
Round 9, node_3_smpc_start: 80.80W (CPU: 0.00W, RAM: 3.61W, GPU: 77.18W)
Round 9, node_3_smpc_complete: 81.15W (CPU: 1.68W, RAM: 3.61W, GPU: 75.86W)
Round 9, aggregation_start: 83.30W (CPU: 1.95W, RAM: 3.60W, GPU: 77.76W)
Round 9, aggregation_complete: 82.67W (CPU: 3.63W, RAM: 3.60W, GPU: 75.44W)
Round 10, cluster_generation_start: 94.18W (CPU: 1.38W, RAM: 3.61W, GPU: 89.20W)
Round 10, cluster_generation_complete: 98.80W (CPU: 6.00W, RAM: 3.61W, GPU: 89.20W)
Round 10, node_1_training_start: 92.80W (CPU: 0.00W, RAM: 3.61W, GPU: 89.20W)
Round 10, node_1_training_complete: 118.95W (CPU: 3.33W, RAM: 3.62W, GPU: 112.00W)
Round 10, node_1_smpc_start: 115.62W (CPU: 0.00W, RAM: 3.62W, GPU: 112.00W)
Round 10, node_1_smpc_complete: 84.26W (CPU: 1.41W, RAM: 3.60W, GPU: 79.25W)
Round 10, node_2_training_start: 77.95W (CPU: 1.98W, RAM: 3.61W, GPU: 72.37W)
Round 10, node_2_training_complete: 114.63W (CPU: 3.90W, RAM: 3.61W, GPU: 107.12W)
Round 10, node_2_smpc_start: 110.73W (CPU: 0.00W, RAM: 3.61W, GPU: 107.12W)
Round 10, node_2_smpc_complete: 101.02W (CPU: 1.62W, RAM: 3.61W, GPU: 95.79W)
Round 10, node_3_training_start: 99.70W (CPU: 1.38W, RAM: 3.61W, GPU: 94.71W)
Round 10, node_3_training_complete: 79.88W (CPU: 2.67W, RAM: 3.60W, GPU: 73.61W)
Round 10, node_3_smpc_start: 77.21W (CPU: 0.00W, RAM: 3.60W, GPU: 73.61W)
Round 10, node_3_smpc_complete: 79.48W (CPU: 1.59W, RAM: 3.62W, GPU: 74.27W)
Round 10, aggregation_start: 79.75W (CPU: 1.95W, RAM: 3.61W, GPU: 74.19W)
Round 10, aggregation_complete: 81.63W (CPU: 3.33W, RAM: 3.60W, GPU: 74.70W)
Round 11, cluster_generation_start: 101.15W (CPU: 1.74W, RAM: 3.61W, GPU: 95.80W)
Round 11, cluster_generation_complete: 99.41W (CPU: 0.00W, RAM: 3.61W, GPU: 95.80W)
Round 11, node_1_training_start: 99.41W (CPU: 0.00W, RAM: 3.61W, GPU: 95.80W)
Round 11, node_1_training_complete: 118.85W (CPU: 3.36W, RAM: 3.65W, GPU: 111.84W)
Round 11, node_1_smpc_start: 115.49W (CPU: 0.00W, RAM: 3.65W, GPU: 111.84W)
Round 11, node_1_smpc_complete: 66.51W (CPU: 1.44W, RAM: 3.64W, GPU: 61.43W)
Round 11, node_2_training_start: 72.74W (CPU: 1.38W, RAM: 3.65W, GPU: 67.71W)
Round 11, node_2_training_complete: 105.88W (CPU: 3.99W, RAM: 3.68W, GPU: 98.21W)
Round 11, node_2_smpc_start: 101.89W (CPU: 0.00W, RAM: 3.68W, GPU: 98.21W)
Round 11, node_2_smpc_complete: 26.11W (CPU: 0.81W, RAM: 3.67W, GPU: 21.63W)
Round 11, node_3_training_start: 25.17W (CPU: 0.00W, RAM: 3.67W, GPU: 21.50W)
Round 11, node_3_training_complete: 78.17W (CPU: 1.92W, RAM: 3.67W, GPU: 72.58W)
Round 11, node_3_smpc_start: 76.25W (CPU: 0.00W, RAM: 3.67W, GPU: 72.58W)
Round 11, node_3_smpc_complete: 25.12W (CPU: 0.09W, RAM: 3.66W, GPU: 21.36W)
Round 11, aggregation_start: 24.67W (CPU: 0.00W, RAM: 3.66W, GPU: 21.00W)
Round 11, aggregation_complete: 26.08W (CPU: 1.56W, RAM: 3.66W, GPU: 20.86W)
Round 12, cluster_generation_start: 26.02W (CPU: 0.03W, RAM: 3.67W, GPU: 22.32W)
Round 12, cluster_generation_complete: 25.99W (CPU: 0.00W, RAM: 3.67W, GPU: 22.32W)
Round 12, node_1_training_start: 25.99W (CPU: 0.00W, RAM: 3.67W, GPU: 22.32W)
Round 12, node_1_training_complete: 74.99W (CPU: 2.01W, RAM: 3.69W, GPU: 69.28W)
Round 12, node_1_smpc_start: 72.98W (CPU: 0.00W, RAM: 3.69W, GPU: 69.28W)
Round 12, node_1_smpc_complete: 70.08W (CPU: 1.11W, RAM: 2.79W, GPU: 66.18W)
Round 12, node_2_training_start: 80.52W (CPU: 1.08W, RAM: 2.79W, GPU: 76.65W)
Round 12, node_2_training_complete: 76.97W (CPU: 2.61W, RAM: 2.56W, GPU: 71.79W)
Round 12, node_2_smpc_start: 74.36W (CPU: 0.00W, RAM: 2.56W, GPU: 71.79W)
Round 12, node_2_smpc_complete: 24.03W (CPU: 0.09W, RAM: 2.56W, GPU: 21.37W)
Round 12, node_3_training_start: 24.04W (CPU: 0.00W, RAM: 2.56W, GPU: 21.48W)
Round 12, node_3_training_complete: 79.85W (CPU: 1.89W, RAM: 2.57W, GPU: 75.39W)
Round 12, node_3_smpc_start: 77.96W (CPU: 0.00W, RAM: 2.57W, GPU: 75.39W)
Round 12, node_3_smpc_complete: 24.21W (CPU: 0.09W, RAM: 2.57W, GPU: 21.55W)
Round 12, aggregation_start: 24.14W (CPU: 0.00W, RAM: 2.57W, GPU: 21.57W)
Round 12, aggregation_complete: 26.78W (CPU: 1.53W, RAM: 2.57W, GPU: 22.68W)
Round 13, cluster_generation_start: 26.04W (CPU: 0.03W, RAM: 2.58W, GPU: 23.43W)
Round 13, cluster_generation_complete: 26.01W (CPU: 0.00W, RAM: 2.58W, GPU: 23.43W)
Round 13, node_1_training_start: 26.01W (CPU: 0.00W, RAM: 2.58W, GPU: 23.43W)
Round 13, node_1_training_complete: 82.92W (CPU: 2.04W, RAM: 2.57W, GPU: 78.31W)
Round 13, node_1_smpc_start: 80.56W (CPU: 0.00W, RAM: 2.57W, GPU: 77.99W)
Round 13, node_1_smpc_complete: 23.72W (CPU: 0.09W, RAM: 2.55W, GPU: 21.07W)
Round 13, node_2_training_start: 23.78W (CPU: 0.03W, RAM: 2.56W, GPU: 21.19W)
Round 13, node_2_training_complete: 75.60W (CPU: 1.92W, RAM: 2.56W, GPU: 71.12W)
Round 13, node_2_smpc_start: 73.68W (CPU: 0.00W, RAM: 2.56W, GPU: 71.12W)
Round 13, node_2_smpc_complete: 23.85W (CPU: 0.09W, RAM: 2.56W, GPU: 21.21W)
Round 13, node_3_training_start: 23.69W (CPU: 0.00W, RAM: 2.56W, GPU: 21.14W)
Round 13, node_3_training_complete: 79.63W (CPU: 1.89W, RAM: 2.57W, GPU: 75.17W)
Round 13, node_3_smpc_start: 77.74W (CPU: 0.00W, RAM: 2.57W, GPU: 75.17W)
Round 13, node_3_smpc_complete: 23.87W (CPU: 0.09W, RAM: 2.58W, GPU: 21.20W)
Round 13, aggregation_start: 24.00W (CPU: 0.00W, RAM: 2.58W, GPU: 21.42W)
Round 13, aggregation_complete: 26.41W (CPU: 1.68W, RAM: 2.58W, GPU: 22.15W)
Round 14, cluster_generation_start: 25.58W (CPU: 0.03W, RAM: 2.58W, GPU: 22.98W)
Round 14, cluster_generation_complete: 25.55W (CPU: 0.00W, RAM: 2.58W, GPU: 22.98W)
Round 14, node_1_training_start: 25.55W (CPU: 0.00W, RAM: 2.58W, GPU: 22.98W)
Round 14, node_1_training_complete: 80.23W (CPU: 2.01W, RAM: 2.61W, GPU: 75.62W)
Round 14, node_1_smpc_start: 78.22W (CPU: 0.00W, RAM: 2.61W, GPU: 75.62W)
Round 14, node_1_smpc_complete: 24.34W (CPU: 0.09W, RAM: 2.59W, GPU: 21.67W)
Round 14, node_2_training_start: 24.16W (CPU: 0.00W, RAM: 2.58W, GPU: 21.58W)
Round 14, node_2_training_complete: 77.37W (CPU: 1.92W, RAM: 2.60W, GPU: 72.84W)
Round 14, node_2_smpc_start: 75.45W (CPU: 0.00W, RAM: 2.60W, GPU: 72.84W)
Round 14, node_2_smpc_complete: 24.06W (CPU: 0.09W, RAM: 2.59W, GPU: 21.37W)
Round 14, node_3_training_start: 24.44W (CPU: 0.00W, RAM: 2.59W, GPU: 21.84W)
Round 14, node_3_training_complete: 76.43W (CPU: 1.89W, RAM: 2.59W, GPU: 71.95W)
Round 14, node_3_smpc_start: 74.54W (CPU: 0.00W, RAM: 2.59W, GPU: 71.95W)
Round 14, node_3_smpc_complete: 24.20W (CPU: 0.09W, RAM: 2.58W, GPU: 21.52W)
Round 14, aggregation_start: 24.20W (CPU: 0.00W, RAM: 2.58W, GPU: 21.61W)
Round 14, aggregation_complete: 26.64W (CPU: 1.59W, RAM: 2.58W, GPU: 22.46W)
Round 15, cluster_generation_start: 24.31W (CPU: 0.03W, RAM: 2.59W, GPU: 21.70W)
Round 15, cluster_generation_complete: 24.28W (CPU: 0.00W, RAM: 2.59W, GPU: 21.70W)
Round 15, node_1_training_start: 24.28W (CPU: 0.00W, RAM: 2.59W, GPU: 21.70W)
Round 15, node_1_training_complete: 78.86W (CPU: 1.98W, RAM: 2.61W, GPU: 74.27W)
Round 15, node_1_smpc_start: 76.88W (CPU: 0.00W, RAM: 2.61W, GPU: 74.27W)
Round 15, node_1_smpc_complete: 24.13W (CPU: 0.09W, RAM: 2.61W, GPU: 21.43W)
Round 15, node_2_training_start: 24.12W (CPU: 0.00W, RAM: 2.61W, GPU: 21.51W)
Round 15, node_2_training_complete: 75.14W (CPU: 1.89W, RAM: 2.61W, GPU: 70.64W)
Round 15, node_2_smpc_start: 73.25W (CPU: 0.00W, RAM: 2.61W, GPU: 70.64W)
Round 15, node_2_smpc_complete: 24.45W (CPU: 0.09W, RAM: 2.60W, GPU: 21.76W)
Round 15, node_3_training_start: 24.25W (CPU: 0.00W, RAM: 2.60W, GPU: 21.65W)
