=== Energy Consumption Metrics ===

Total Duration: 16536.28 seconds
Average CPU Power: 0.63 Watts
Average RAM Power: 1.68 Watts
Average GPU Power: 54.82 Watts
Total Energy Consumption: 0.9446 Mega Joules

=== Detailed Measurements ===
Round global, start: 22.42W (CPU: 4.05W, RAM: 0.42W, GPU: 17.94W)
Round 4, node_2_smpc_complete: 22.05W (CPU: 0.09W, RAM: 1.36W, GPU: 20.60W)
Round 4, node_3_training_start: 21.30W (CPU: 0.00W, RAM: 1.36W, GPU: 19.94W)
Round 4, node_3_training_complete: 110.87W (CPU: 1.92W, RAM: 1.42W, GPU: 107.53W)
Round 4, node_3_smpc_start: 108.95W (CPU: 0.00W, RAM: 1.42W, GPU: 107.53W)
Round 4, node_3_smpc_complete: 21.90W (CPU: 0.09W, RAM: 1.38W, GPU: 20.43W)
Round 4, aggregation_start: 22.29W (CPU: 0.00W, RAM: 1.38W, GPU: 20.91W)
Round 4, aggregation_complete: 28.83W (CPU: 1.50W, RAM: 1.37W, GPU: 25.96W)
Round 5, cluster_generation_start: 22.58W (CPU: 0.03W, RAM: 1.38W, GPU: 21.18W)
Round 5, cluster_generation_complete: 22.55W (CPU: 0.00W, RAM: 1.38W, GPU: 21.18W)
Round 5, node_1_training_start: 22.55W (CPU: 0.00W, RAM: 1.38W, GPU: 21.18W)
Round 5, node_1_training_complete: 116.66W (CPU: 1.89W, RAM: 1.41W, GPU: 113.35W)
Round 5, node_1_smpc_start: 114.77W (CPU: 0.00W, RAM: 1.41W, GPU: 113.35W)
Round 5, node_1_smpc_complete: 21.99W (CPU: 0.09W, RAM: 1.41W, GPU: 20.48W)
Round 5, node_2_training_start: 22.09W (CPU: 0.00W, RAM: 1.41W, GPU: 20.68W)
Round 5, node_2_training_complete: 113.65W (CPU: 1.86W, RAM: 1.46W, GPU: 110.33W)
Round 5, node_2_smpc_start: 111.79W (CPU: 0.00W, RAM: 1.46W, GPU: 110.33W)
Round 5, node_2_smpc_complete: 22.32W (CPU: 0.09W, RAM: 1.38W, GPU: 20.85W)
Round 5, node_3_training_start: 21.77W (CPU: 0.00W, RAM: 1.38W, GPU: 20.39W)
Round 5, node_3_training_complete: 122.96W (CPU: 1.89W, RAM: 1.41W, GPU: 119.66W)
Round 5, node_3_smpc_start: 121.07W (CPU: 0.00W, RAM: 1.41W, GPU: 119.66W)
Round 5, node_3_smpc_complete: 21.82W (CPU: 0.09W, RAM: 1.39W, GPU: 20.34W)
Round 5, aggregation_start: 22.33W (CPU: 0.00W, RAM: 1.39W, GPU: 20.94W)
Round 5, aggregation_complete: 26.28W (CPU: 1.50W, RAM: 1.39W, GPU: 23.39W)
Round 6, cluster_generation_start: 22.18W (CPU: 0.03W, RAM: 1.40W, GPU: 20.76W)
Round 6, cluster_generation_complete: 22.15W (CPU: 0.00W, RAM: 1.40W, GPU: 20.76W)
Round 6, node_1_training_start: 22.15W (CPU: 0.00W, RAM: 1.40W, GPU: 20.76W)
Round 6, node_1_training_complete: 120.54W (CPU: 1.95W, RAM: 1.45W, GPU: 117.14W)
Round 6, node_1_smpc_start: 118.59W (CPU: 0.00W, RAM: 1.45W, GPU: 117.14W)
Round 6, node_1_smpc_complete: 22.49W (CPU: 0.09W, RAM: 1.42W, GPU: 20.98W)
Round 6, node_2_training_start: 22.55W (CPU: 0.00W, RAM: 1.42W, GPU: 21.13W)
Round 6, node_2_training_complete: 109.64W (CPU: 1.86W, RAM: 1.44W, GPU: 106.34W)
Round 6, node_2_smpc_start: 107.78W (CPU: 0.00W, RAM: 1.44W, GPU: 106.34W)
Round 6, node_2_smpc_complete: 22.58W (CPU: 0.09W, RAM: 1.41W, GPU: 21.07W)
Round 6, node_3_training_start: 21.99W (CPU: 0.00W, RAM: 1.41W, GPU: 20.58W)
Round 6, node_3_training_complete: 120.89W (CPU: 1.89W, RAM: 1.45W, GPU: 117.55W)
Round 6, node_3_smpc_start: 119.00W (CPU: 0.00W, RAM: 1.45W, GPU: 117.55W)
